"WIDTH","LENGTH","POSITIVE_PRESSURE","NEGATIVE_PRESSURE"
48,72,120,120
54,72,120,120
60,72,120,120
66,72,120,120
72,72,120,120
78,72,120,120
84,72,120,120
90,72,120,120
96,72,120,120
102,72,120,120
108,72,120,120
114,72,120,120
120,72,120,120
126,72,120,120
132,72,120,120
138,72,120,120
144,72,120,120
150,72,120,120
156,72,120,120
162,72,120,120
168,72,120,120
174,72,120,120
180,72,120,120
186,72,120,120
192,72,120,120
198,72,120,120
204,72,120,120
210,72,120,120
216,72,120,120
222,72,120,120
228,72,120,120
234,72,120,120
240,72,120,120
246,72,120,120
252,72,120,120
258,72,120,120
264,72,120,120
48,84,120,120
54,84,120,120
60,84,120,120
66,84,120,120
72,84,120,120
78,84,120,120
84,84,114,114
90,84,114,114
96,84,114,114
102,84,114,114
108,84,114,114
114,84,114,114
120,84,114,114
126,84,114,114
132,84,114,114
138,84,114,114
144,84,114,114
150,84,114,114
156,84,114,114
162,84,114,114
168,84,114,114
174,84,114,114
180,84,114,114
186,84,114,114
192,84,114,114
198,84,114,114
204,84,114,114
210,84,114,114
216,84,114,114
222,84,114,114
228,84,114,114
234,84,114,114
240,84,114,114
246,84,114,114
252,84,114,114
258,84,114,114
264,84,114,114
48,96,120,120
54,96,120,120
60,96,120,120
66,96,120,120
72,96,120,120
78,96,120,120
84,96,114,114
90,96,106,106
96,96,100,100
102,96,100,100
108,96,100,100
114,96,100,100
120,96,100,100
126,96,100,100
132,96,100,100
138,96,100,100
144,96,100,100
150,96,100,100
156,96,100,100
162,96,100,100
168,96,100,100
174,96,100,100
180,96,100,100
186,96,100,100
192,96,100,100
198,96,100,100
48,108,120,120
54,108,120,120
60,108,120,120
66,108,120,120
72,108,120,120
78,108,120,120
84,108,114,114
90,108,106,106
96,108,100,100
102,108,94,94
108,108,88,88
114,108,88,88
120,108,88,88
126,108,88,88
132,108,88,88
138,108,88,88
144,108,88,88
150,108,88,88
156,108,88,88
162,108,88,88
168,108,88,88
174,108,88,88
48,120,120,120
54,120,120,120
60,120,120,120
66,120,120,120
72,120,120,120
78,120,120,120
84,120,114,114
90,120,106,106
96,120,100,100
102,120,94,94
108,120,88,88
114,120,84,84
120,120,80,80
126,120,80,80
132,120,80,80
138,120,80,80
144,120,80,80
150,120,80,80
156,120,80,80
48,132,120,120
54,132,120,120
60,132,120,120
66,132,120,120
72,132,120,120
78,132,120,120
84,132,114,114
90,132,106,106
96,132,100,100
102,132,94,94
108,132,88,88
114,132,84,84
120,132,80,80
126,132,76,76
132,132,72,72
138,132,72,72
144,132,72,72
48,144,120,120
54,144,120,120
60,144,120,120
66,144,120,120
72,144,120,120
78,144,120,120
84,144,114,114
90,144,106,106
96,144,100,100
102,144,94,94
108,144,88,88
114,144,84,84
120,144,80,80
126,144,76,76
132,144,72,72
48,156,120,120
54,156,120,120
60,156,120,120
66,156,120,120
72,156,120,120
78,156,120,120
84,156,114,114
90,156,106,106
96,156,100,100
102,156,94,94
108,156,88,88
114,156,84,84
120,156,80,80
48,168,120,120
54,168,120,120
60,168,120,120
66,168,120,120
72,168,120,120
78,168,120,120
84,168,114,114
90,168,106,106
96,168,100,100
102,168,94,94
108,168,88,88
48,180,120,120
54,180,120,120
60,180,120,120
66,180,120,120
72,180,120,120
78,180,120,120
84,180,114,114
90,180,106,106
96,180,100,100
102,180,94,94
48,192,120,120
54,192,120,120
60,192,120,120
66,192,120,120
72,192,120,120
78,192,120,120
84,192,114,114
90,192,106,106
96,192,100,100
48,204,120,120
54,204,120,120
60,204,120,120
66,204,120,120
72,204,120,120
78,204,112,112
84,204,105,105
90,204,99,99
48,216,120,120
54,216,120,120
60,216,120,120
66,216,116,116
72,216,107,107
78,216,99,99
84,216,93,93
48,228,120,120
54,228,120,120
60,228,113,113
66,228,104,104
72,228,95,95
78,228,89,89
48,240,120,120
54,240,113,113
60,240,102,102
66,240,93,93
72,240,86,86
78,240,80,80
48,252,115,115
54,252,102,102
60,252,92,92
66,252,84,84
72,252,77,77
48,264,104,104
54,264,93,93
60,264,84,84
66,264,77,77
72,264,70,70
48,276,95,95
54,276,85,85
60,276,77,77
66,276,70,70
48,288,87,87
54,288,78,78
60,288,70,70
66,288,64,64
48,300,80,80
54,300,72,72
60,300,65,65
48,312,74,74
54,312,66,66
60,312,60,60
48,324,69,69
54,324,61,61
48,336,64,64
54,336,57,57
48,348,60,60
54,348,53,53
48,360,56,56
48,372,52,52
48,386,48,48
48,396,46,46